PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare
1.0,0.0,3.0,22.0,1.0,0.0,7.25
2.0,1.0,1.0,38.0,1.0,0.0,71.2833
3.0,1.0,3.0,26.0,0.0,0.0,7.925
4.0,1.0,1.0,35.0,1.0,0.0,53.1
5.0,0.0,3.0,35.0,0.0,0.0,8.05
6.0,0.0,3.0,28.0,0.0,0.0,8.4583
7.0,0.0,1.0,54.0,0.0,0.0,51.8625
8.0,0.0,3.0,2.0,3.0,1.0,21.075
9.0,1.0,3.0,27.0,0.0,2.0,11.1333
10.0,1.0,2.0,14.0,1.0,0.0,30.0708
11.0,1.0,3.0,4.0,1.0,1.0,16.7
12.0,1.0,1.0,58.0,0.0,0.0,26.55
13.0,0.0,3.0,20.0,0.0,0.0,8.05
14.0,0.0,3.0,39.0,1.0,5.0,31.275
15.0,0.0,3.0,14.0,0.0,0.0,7.8542
16.0,1.0,2.0,55.0,0.0,0.0,16.0
17.0,0.0,3.0,2.0,4.0,1.0,29.125
18.0,1.0,2.0,28.0,0.0,0.0,13.0
19.0,0.0,3.0,31.0,1.0,0.0,18.0
20.0,1.0,3.0,28.0,0.0,0.0,7.225
21.0,0.0,2.0,35.0,0.0,0.0,26.0
22.0,1.0,2.0,34.0,0.0,0.0,13.0
23.0,1.0,3.0,15.0,0.0,0.0,8.0292
24.0,1.0,1.0,28.0,0.0,0.0,35.5
25.0,0.0,3.0,8.0,3.0,1.0,21.075
26.0,1.0,3.0,38.0,1.0,5.0,31.3875
27.0,0.0,3.0,28.0,0.0,0.0,7.225
28.0,0.0,1.0,19.0,3.0,2.0,263.0
29.0,1.0,3.0,28.0,0.0,0.0,7.8792
30.0,0.0,3.0,28.0,0.0,0.0,7.8958
31.0,0.0,1.0,40.0,0.0,0.0,27.7208
32.0,1.0,1.0,28.0,1.0,0.0,146.5208
33.0,1.0,3.0,28.0,0.0,0.0,7.75
34.0,0.0,2.0,66.0,0.0,0.0,10.5
35.0,0.0,1.0,28.0,1.0,0.0,82.1708
36.0,0.0,1.0,42.0,1.0,0.0,52.0
37.0,1.0,3.0,28.0,0.0,0.0,7.2292
38.0,0.0,3.0,21.0,0.0,0.0,8.05
39.0,0.0,3.0,18.0,2.0,0.0,18.0
40.0,1.0,3.0,14.0,1.0,0.0,11.2417
41.0,0.0,3.0,40.0,1.0,0.0,9.475
42.0,0.0,2.0,27.0,1.0,0.0,21.0
43.0,0.0,3.0,28.0,0.0,0.0,7.8958
44.0,1.0,2.0,3.0,1.0,2.0,41.5792
45.0,1.0,3.0,19.0,0.0,0.0,7.8792
46.0,0.0,3.0,28.0,0.0,0.0,8.05
47.0,0.0,3.0,28.0,1.0,0.0,15.5
48.0,1.0,3.0,28.0,0.0,0.0,7.75
49.0,0.0,3.0,28.0,2.0,0.0,21.6792
50.0,0.0,3.0,18.0,1.0,0.0,17.8
51.0,0.0,3.0,7.0,4.0,1.0,39.6875
52.0,0.0,3.0,21.0,0.0,0.0,7.8
53.0,1.0,1.0,49.0,1.0,0.0,76.7292
54.0,1.0,2.0,29.0,1.0,0.0,26.0
55.0,0.0,1.0,65.0,0.0,1.0,61.9792
56.0,1.0,1.0,28.0,0.0,0.0,35.5
57.0,1.0,2.0,21.0,0.0,0.0,10.5
58.0,0.0,3.0,28.5,0.0,0.0,7.2292
59.0,1.0,2.0,5.0,1.0,2.0,27.75
60.0,0.0,3.0,11.0,5.0,2.0,46.9
61.0,0.0,3.0,22.0,0.0,0.0,7.2292
62.0,1.0,1.0,38.0,0.0,0.0,80.0
63.0,0.0,1.0,45.0,1.0,0.0,83.475
64.0,0.0,3.0,4.0,3.0,2.0,27.9
65.0,0.0,1.0,28.0,0.0,0.0,27.7208
66.0,1.0,3.0,28.0,1.0,1.0,15.2458
67.0,1.0,2.0,29.0,0.0,0.0,10.5
68.0,0.0,3.0,19.0,0.0,0.0,8.1583
69.0,1.0,3.0,17.0,4.0,2.0,7.925
70.0,0.0,3.0,26.0,2.0,0.0,8.6625
71.0,0.0,2.0,32.0,0.0,0.0,10.5
72.0,0.0,3.0,16.0,5.0,2.0,46.9
73.0,0.0,2.0,21.0,0.0,0.0,73.5
74.0,0.0,3.0,26.0,1.0,0.0,14.4542
75.0,1.0,3.0,32.0,0.0,0.0,56.4958
76.0,0.0,3.0,25.0,0.0,0.0,7.65
77.0,0.0,3.0,28.0,0.0,0.0,7.8958
78.0,0.0,3.0,28.0,0.0,0.0,8.05
79.0,1.0,2.0,0.83,0.0,2.0,29.0
80.0,1.0,3.0,30.0,0.0,0.0,12.475
81.0,0.0,3.0,22.0,0.0,0.0,9.0
82.0,1.0,3.0,29.0,0.0,0.0,9.5
83.0,1.0,3.0,28.0,0.0,0.0,7.7875
84.0,0.0,1.0,28.0,0.0,0.0,47.1
85.0,1.0,2.0,17.0,0.0,0.0,10.5
86.0,1.0,3.0,33.0,3.0,0.0,15.85
87.0,0.0,3.0,16.0,1.0,3.0,34.375
88.0,0.0,3.0,28.0,0.0,0.0,8.05
89.0,1.0,1.0,23.0,3.0,2.0,263.0
90.0,0.0,3.0,24.0,0.0,0.0,8.05
91.0,0.0,3.0,29.0,0.0,0.0,8.05
92.0,0.0,3.0,20.0,0.0,0.0,7.8542
93.0,0.0,1.0,46.0,1.0,0.0,61.175
94.0,0.0,3.0,26.0,1.0,2.0,20.575
95.0,0.0,3.0,59.0,0.0,0.0,7.25
96.0,0.0,3.0,28.0,0.0,0.0,8.05
97.0,0.0,1.0,71.0,0.0,0.0,34.6542
98.0,1.0,1.0,23.0,0.0,1.0,63.3583
99.0,1.0,2.0,34.0,0.0,1.0,23.0
100.0,0.0,2.0,34.0,1.0,0.0,26.0
101.0,0.0,3.0,28.0,0.0,0.0,7.8958
102.0,0.0,3.0,28.0,0.0,0.0,7.8958
103.0,0.0,1.0,21.0,0.0,1.0,77.2875
104.0,0.0,3.0,33.0,0.0,0.0,8.6542
105.0,0.0,3.0,37.0,2.0,0.0,7.925
106.0,0.0,3.0,28.0,0.0,0.0,7.8958
107.0,1.0,3.0,21.0,0.0,0.0,7.65
108.0,1.0,3.0,28.0,0.0,0.0,7.775
109.0,0.0,3.0,38.0,0.0,0.0,7.8958
110.0,1.0,3.0,28.0,1.0,0.0,24.15
111.0,0.0,1.0,47.0,0.0,0.0,52.0
112.0,0.0,3.0,14.5,1.0,0.0,14.4542
113.0,0.0,3.0,22.0,0.0,0.0,8.05
114.0,0.0,3.0,20.0,1.0,0.0,9.825
115.0,0.0,3.0,17.0,0.0,0.0,14.4583
116.0,0.0,3.0,21.0,0.0,0.0,7.925
117.0,0.0,3.0,70.5,0.0,0.0,7.75
118.0,0.0,2.0,29.0,1.0,0.0,21.0
119.0,0.0,1.0,24.0,0.0,1.0,247.5208
120.0,0.0,3.0,2.0,4.0,2.0,31.275
121.0,0.0,2.0,21.0,2.0,0.0,73.5
122.0,0.0,3.0,28.0,0.0,0.0,8.05
123.0,0.0,2.0,32.5,1.0,0.0,30.0708
124.0,1.0,2.0,32.5,0.0,0.0,13.0
125.0,0.0,1.0,54.0,0.0,1.0,77.2875
126.0,1.0,3.0,12.0,1.0,0.0,11.2417
127.0,0.0,3.0,28.0,0.0,0.0,7.75
128.0,1.0,3.0,24.0,0.0,0.0,7.1417
129.0,1.0,3.0,28.0,1.0,1.0,22.3583
130.0,0.0,3.0,45.0,0.0,0.0,6.975
131.0,0.0,3.0,33.0,0.0,0.0,7.8958
132.0,0.0,3.0,20.0,0.0,0.0,7.05
133.0,0.0,3.0,47.0,1.0,0.0,14.5
134.0,1.0,2.0,29.0,1.0,0.0,26.0
135.0,0.0,2.0,25.0,0.0,0.0,13.0
